Product,Channel,Week,Horizon,Actual,Predicted,APE
Cereal Bar 50g,E-commerce,2026-01-19,1,0.642,1.1108256540078763,0.7302580280496515
Cereal Bar 50g,E-commerce,2026-01-26,2,1.121,1.0922856856140735,0.025614910246143204
Cereal Bar 50g,E-commerce,2026-02-02,3,1.041,1.032832339650462,0.007845975359786721
Cereal Bar 50g,E-commerce,2026-02-09,4,0.965,1.0013831815036758,0.03770277876028581
Cereal Bar 50g,E-commerce,2026-02-16,5,0.928,1.1266836125926702,0.21409872046623943
Cereal Bar 50g,E-commerce,2026-02-23,6,1.039,1.1295625155249414,0.0871631525745346
Cereal Bar 50g,E-commerce,2026-03-02,7,0.658,1.0416945595741127,0.5831224309636971
Cereal Bar 50g,E-commerce,2026-03-09,8,1.143,0.9971994910261044,0.12755950041460684
Cereal Bar 50g,E-commerce,2026-03-16,9,1.199,1.0408945216299441,0.1318644523520066
Cereal Bar 50g,E-commerce,2026-03-23,10,0.877,1.1003200906158408,0.2546409243054057
Cereal Bar 50g,E-commerce,2026-03-30,11,0.993,1.0663650271195562,0.07388220253731739
Cereal Bar 50g,E-commerce,2026-04-06,12,1.098,1.0696610801314008,0.0258095809367935
Cereal Bar 50g,E-commerce,2026-04-13,13,0.758,1.0495449529454373,0.3846239484768301
Cereal Bar 50g,E-commerce,2026-04-20,14,0.983,1.0804030895937364,0.09908757842699537
Cereal Bar 50g,E-commerce,2026-04-27,15,1.118,1.0571161923981527,0.054457788552636326
Cereal Bar 50g,E-commerce,2026-05-04,16,0.841,1.034866669542311,0.2305192265663627
Cereal Bar 50g,E-commerce,2026-05-11,17,0.901,0.9849674367520518,0.09319360349839263
Cereal Bar 50g,E-commerce,2026-05-18,18,0.846,1.0797057432086872,0.27624792341452387
Cereal Bar 50g,E-commerce,2026-05-25,19,1.035,1.084156899419632,0.04749458881123873
Cereal Bar 50g,E-commerce,2026-06-01,20,1.06,1.0241883266321508,0.03378459751683895
Cereal Bar 50g,E-commerce,2026-06-08,21,1.217,0.9833688713946411,0.19197298981541408
Cereal Bar 50g,E-commerce,2026-06-15,22,1.161,1.0219633664205832,0.11975592900897232
Cereal Bar 50g,E-commerce,2026-06-22,23,0.819,0.9650004928803101,0.17826678007363878
Cereal Bar 50g,Supermarkets,2026-01-19,1,3.655,2.456391335614017,0.32793670708234823
Cereal Bar 50g,Supermarkets,2026-01-26,2,1.658,2.5572723288524806,0.5423837930352718
Cereal Bar 50g,Supermarkets,2026-02-02,3,3.173,2.576901783550593,0.18786581041582315
Cereal Bar 50g,Supermarkets,2026-02-09,4,3.372,2.6735542336315663,0.2071310101922994
Cereal Bar 50g,Supermarkets,2026-02-16,5,2.996,2.6934728933126326,0.10097700490232556
Cereal Bar 50g,Supermarkets,2026-02-23,6,3.891,2.322279125052763,0.4031665060260183
Cereal Bar 50g,Supermarkets,2026-03-02,7,2.674,2.4789027115042286,0.0729608408735121
Cereal Bar 50g,Supermarkets,2026-03-09,8,2.43,2.2580256296733285,0.0707713458134451
Cereal Bar 50g,Supermarkets,2026-03-16,9,4.057,2.1608496778980926,0.46737745183680246
Cereal Bar 50g,Supermarkets,2026-03-23,10,2.773,2.5171941458952762,0.0922487753713393
Cereal Bar 50g,Supermarkets,2026-03-30,11,2.904,2.5149719634597005,0.1339628225001031
Cereal Bar 50g,Supermarkets,2026-04-06,12,1.521,2.2795561084500853,0.49872196479295555
Cereal Bar 50g,Supermarkets,2026-04-13,13,2.936,2.5640071913374216,0.12670054790959753
Cereal Bar 50g,Supermarkets,2026-04-20,14,2.185,2.2916015449235054,0.048787892413503606
Cereal Bar 50g,Supermarkets,2026-04-27,15,2.426,2.4944625724997493,0.028220351401380538
Cereal Bar 50g,Supermarkets,2026-05-04,16,1.765,2.9773958003379946,0.6869098018912151
Cereal Bar 50g,Supermarkets,2026-05-11,17,4.292,2.5506221792217847,0.4057264260899849
Cereal Bar 50g,Supermarkets,2026-05-18,18,2.244,2.4648219265181996,0.09840549310080188
Cereal Bar 50g,Supermarkets,2026-05-25,19,2.802,2.7997989910441285,0.0007855135459926829
Cereal Bar 50g,Supermarkets,2026-06-01,20,1.884,2.712409762315174,0.4397079417808781
Cereal Bar 50g,Supermarkets,2026-06-08,21,3.15,2.6599027146236325,0.15558643980202141
Cereal Bar 50g,Supermarkets,2026-06-15,22,2.255,2.763017709567433,0.22528501532923859
Cereal Bar 50g,Supermarkets,2026-06-22,23,2.092,2.710935739216378,0.2958583839466433
Cereal Bar 50g,Traditional,2026-01-19,1,1.666,1.6293263505106412,0.022012994891571845
Cereal Bar 50g,Traditional,2026-01-26,2,0.878,1.7459993896358423,0.9886097831843307
Cereal Bar 50g,Traditional,2026-02-02,3,1.584,1.385826912591906,0.1251092723535947
Cereal Bar 50g,Traditional,2026-02-09,4,0.921,1.730315230408297,0.8787353207473364
Cereal Bar 50g,Traditional,2026-02-16,5,1.074,1.7695588281168217,0.6476339181720872
Cereal Bar 50g,Traditional,2026-02-23,6,1.492,0.8275195813925711,0.445362210862888
Cereal Bar 50g,Traditional,2026-03-02,7,1.741,1.0908016218918462,0.3734625951224319
Cereal Bar 50g,Traditional,2026-03-09,8,1.581,1.30949764774584,0.17172824304500947
Cereal Bar 50g,Traditional,2026-03-16,9,1.257,1.4002467544340147,0.11395923184885824
Cereal Bar 50g,Traditional,2026-03-23,10,1.581,1.472161077318544,0.0688418233279291
Cereal Bar 50g,Traditional,2026-03-30,11,4.965,1.3887039937556076,0.7203013104218313
Cereal Bar 50g,Traditional,2026-04-06,12,4.108,1.3775706245689512,0.6646614837952893
Cereal Bar 50g,Traditional,2026-04-13,13,1.072,1.381193690519645,0.28842695011160896
Cereal Bar 50g,Traditional,2026-04-20,14,1.441,1.243794337860995,0.1368533394441395
Cereal Bar 50g,Traditional,2026-04-27,15,1.067,1.1300607790751802,0.05910101131694495
Cereal Bar 50g,Traditional,2026-05-04,16,1.125,1.960814504484436,0.7429462262083876
Cereal Bar 50g,Traditional,2026-05-11,17,1.729,1.538939668349134,0.10992500384665471
Cereal Bar 50g,Traditional,2026-05-18,18,1.902,1.6756779357165577,0.11899162160012737
Cereal Bar 50g,Traditional,2026-05-25,19,1.808,1.209179010281185,0.3312062996232384
Cereal Bar 50g,Traditional,2026-06-01,20,4.012,1.8591670913993112,0.5365984318546082
Cereal Bar 50g,Traditional,2026-06-08,21,1.191,1.9201438829147035,0.6122114885933698
Cereal Bar 50g,Traditional,2026-06-15,22,1.07,1.732010228106085,0.6187011477626961
Cereal Bar 50g,Traditional,2026-06-22,23,2.893,1.6619811656130197,0.4255163616961563
Energy Drink 350ml,E-commerce,2026-01-19,1,1.102,1.373534073651446,0.24640115576356258
Energy Drink 350ml,E-commerce,2026-01-26,2,2.745,1.8468875401503597,0.32718122398894
Energy Drink 350ml,E-commerce,2026-02-02,3,0.746,1.5154638072195723,1.0314528246911157
Energy Drink 350ml,E-commerce,2026-02-09,4,2.386,1.25944592135987,0.4721517513160645
Energy Drink 350ml,E-commerce,2026-02-16,5,2.234,1.2474059321586832,0.441626708971046
Energy Drink 350ml,E-commerce,2026-02-23,6,2.208,1.170335562287495,0.46995671997848965
Energy Drink 350ml,E-commerce,2026-03-02,7,0.581,1.2118792070131834,1.0858506144805224
Energy Drink 350ml,E-commerce,2026-03-09,8,0.371,0.810060054056425,1.1834502804755391
Energy Drink 350ml,E-commerce,2026-03-16,9,1.923,1.5027046925264254,0.21856230237835397
Energy Drink 350ml,E-commerce,2026-03-23,10,0.276,1.22144972701497,3.4255424891846737
Energy Drink 350ml,E-commerce,2026-03-30,11,2.435,1.1527210139123287,0.5266032797074626
Energy Drink 350ml,E-commerce,2026-04-06,12,1.689,1.5533211660046218,0.08033086678234357
Energy Drink 350ml,E-commerce,2026-04-13,13,0.374,2.243420566150589,4.998450711632591
Energy Drink 350ml,E-commerce,2026-04-20,14,2.133,2.074050780046173,0.02763676509790288
Energy Drink 350ml,E-commerce,2026-04-27,15,2.895,1.9164885581048625,0.33800049806395077
Energy Drink 350ml,E-commerce,2026-05-04,16,2.279,2.205205513951609,0.03238020449688055
Energy Drink 350ml,E-commerce,2026-05-11,17,0.257,1.9092794297227438,6.429102839388108
Energy Drink 350ml,E-commerce,2026-05-18,18,1.383,1.953318325528996,0.41237767572595524
Energy Drink 350ml,E-commerce,2026-05-25,19,0.955,2.104587562918408,1.2037566103857673
Energy Drink 350ml,E-commerce,2026-06-01,20,1.893,1.1625821758942958,0.3858519937166953
Energy Drink 350ml,E-commerce,2026-06-08,21,0.549,1.8990947320746714,2.459188947312698
Energy Drink 350ml,E-commerce,2026-06-15,22,0.411,1.265329469837746,2.0786605105541267
Energy Drink 350ml,E-commerce,2026-06-22,23,2.73,1.6962378267521534,0.37866746272814894
Energy Drink 350ml,Supermarkets,2026-01-19,1,4.247,4.544342200254306,0.0700122910888406
Energy Drink 350ml,Supermarkets,2026-01-26,2,4.573,4.603183167777494,0.006600299098511546
Energy Drink 350ml,Supermarkets,2026-02-02,3,5.445,5.5627894093301995,0.021632582062479193
Energy Drink 350ml,Supermarkets,2026-02-09,4,3.163,5.322637911473706,0.6827815085278868
Energy Drink 350ml,Supermarkets,2026-02-16,5,4.642,5.528839221092272,0.19104679472043767
Energy Drink 350ml,Supermarkets,2026-02-23,6,6.096,5.256399653525885,0.1377297156289559
Energy Drink 350ml,Supermarkets,2026-03-02,7,5.575,5.8009161465541075,0.04052307561508651
Energy Drink 350ml,Supermarkets,2026-03-09,8,5.172,5.901646254912125,0.14107622871464134
Energy Drink 350ml,Supermarkets,2026-03-16,9,6.254,6.178251532726163,0.012112003081841453
Energy Drink 350ml,Supermarkets,2026-03-23,10,6.289,5.745087888528176,0.08648626355093393
Energy Drink 350ml,Supermarkets,2026-03-30,11,6.569,6.339633587947794,0.03491648836233922
Energy Drink 350ml,Supermarkets,2026-04-06,12,6.047,5.945411574687075,0.016799805740520077
Energy Drink 350ml,Supermarkets,2026-04-13,13,7.648,6.043322324619824,0.20981664165535768
Energy Drink 350ml,Supermarkets,2026-04-20,14,4.944,5.996188532390022,0.21282130509506916
Energy Drink 350ml,Supermarkets,2026-04-27,15,3.988,6.245835146324431,0.5661572583561764
Energy Drink 350ml,Supermarkets,2026-05-04,16,6.413,6.518291092717861,0.016418383395892765
Energy Drink 350ml,Supermarkets,2026-05-11,17,2.684,6.66201230482877,1.4821208289227905
Energy Drink 350ml,Supermarkets,2026-05-18,18,4.98,6.444989652296473,0.29417462897519536
Energy Drink 350ml,Supermarkets,2026-05-25,19,7.509,6.164436921174106,0.17906020493086885
Energy Drink 350ml,Supermarkets,2026-06-01,20,3.691,6.0553809404529755,0.6405800434714104
Energy Drink 350ml,Supermarkets,2026-06-08,21,5.12,6.438550862625016,0.25752946535644844
Energy Drink 350ml,Supermarkets,2026-06-15,22,5.425,6.140989867729663,0.13197969912067517
Energy Drink 350ml,Supermarkets,2026-06-22,23,4.892,5.944545807605078,0.21515654284649985
Energy Drink 350ml,Traditional,2026-01-19,1,1.513,2.2377356546261553,0.4790057201759124
Energy Drink 350ml,Traditional,2026-01-26,2,3.073,2.095398885415515,0.31812597285534816
Energy Drink 350ml,Traditional,2026-02-02,3,2.224,2.7450091842190107,0.23426671952293637
Energy Drink 350ml,Traditional,2026-02-09,4,2.643,2.5365106604580623,0.04029108571393777
Energy Drink 350ml,Traditional,2026-02-16,5,3.019,2.849697919275476,0.05607886078983902
Energy Drink 350ml,Traditional,2026-02-23,6,3.455,2.654088015262887,0.231812441313202
Energy Drink 350ml,Traditional,2026-03-02,7,3.477,3.6053475665206722,0.03691330644828081
Energy Drink 350ml,Traditional,2026-03-09,8,3.053,3.119050327588305,0.021634565210712445
Energy Drink 350ml,Traditional,2026-03-16,9,3.517,3.3318154107427542,0.05265413399409886
Energy Drink 350ml,Traditional,2026-03-23,10,2.968,3.3477784197435376,0.12795768859283613
Energy Drink 350ml,Traditional,2026-03-30,11,4.146,3.0338500786035394,0.2682464836942741
Energy Drink 350ml,Traditional,2026-04-06,12,3.486,3.334113817534642,0.04357033346682677
Energy Drink 350ml,Traditional,2026-04-13,13,3.301,3.516787628703516,0.06537038130975936
Energy Drink 350ml,Traditional,2026-04-20,14,3.463,3.553086142318418,0.02601390191118043
Energy Drink 350ml,Traditional,2026-04-27,15,3.218,3.3644362228004674,0.045505352020033384
Energy Drink 350ml,Traditional,2026-05-04,16,3.311,3.0179248373637133,0.08851560333321856
Energy Drink 350ml,Traditional,2026-05-11,17,3.082,3.2311243868517874,0.048385589504149104
Energy Drink 350ml,Traditional,2026-05-18,18,3.928,3.1568066392598393,0.19633232198069264
Energy Drink 350ml,Traditional,2026-05-25,19,3.201,3.467423810845471,0.0832314310670012
Energy Drink 350ml,Traditional,2026-06-01,20,3.273,2.894882842534865,0.11552617093343574
Energy Drink 350ml,Traditional,2026-06-08,21,2.208,3.008751630089037,0.362659252757716
Energy Drink 350ml,Traditional,2026-06-15,22,3.875,2.7143997307888927,0.299509746893189
Energy Drink 350ml,Traditional,2026-06-22,23,3.526,2.975412386592557,0.1561507695426667
Flavored Water 500ml,E-commerce,2026-01-19,1,2.601,2.4515972089703912,0.05744051942699298
Flavored Water 500ml,E-commerce,2026-01-26,2,0.232,2.5104688692765937,9.820986505502558
Flavored Water 500ml,E-commerce,2026-02-02,3,0.941,2.818191107748577,1.9948895937816973
Flavored Water 500ml,E-commerce,2026-02-09,4,3.348,2.67002610618911,0.20250116302595278
Flavored Water 500ml,E-commerce,2026-02-16,5,2.332,2.3263452934174658,0.002424831296112387
Flavored Water 500ml,E-commerce,2026-02-23,6,4.598,2.6163327177236724,0.4309846198948081
Flavored Water 500ml,E-commerce,2026-03-02,7,0.228,2.5493155968047114,10.1812087579154
Flavored Water 500ml,E-commerce,2026-03-09,8,0.307,2.65877274081722,7.6604975270919216
Flavored Water 500ml,E-commerce,2026-03-16,9,1.731,2.757810002479965,0.5931889095782583
Flavored Water 500ml,E-commerce,2026-03-23,10,0.387,2.486023160588789,5.4238324563017795
Flavored Water 500ml,E-commerce,2026-03-30,11,0.805,2.631090721099862,2.2684356783849213
Flavored Water 500ml,E-commerce,2026-04-06,12,2.56,3.1425252729076254,0.22754893472954116
Flavored Water 500ml,E-commerce,2026-04-13,13,1.312,2.8986594619084376,1.2093441020643578
Flavored Water 500ml,E-commerce,2026-04-20,14,0.927,3.4996944627761684,2.775290682606438
Flavored Water 500ml,E-commerce,2026-04-27,15,4.335,3.3744201184341227,0.22158705457113662
Flavored Water 500ml,E-commerce,2026-05-04,16,2.001,3.4791751584248627,0.7387182201023802
