Product,Channel,Week,Horizon,Actual,Predicted,APE
Cereal Bar 50g,E-commerce,2026-01-19,1,0.642,1.1779020666407274,0.8347384215587653
Cereal Bar 50g,E-commerce,2026-01-26,2,1.121,1.064880797183375,0.05006173311028107
Cereal Bar 50g,E-commerce,2026-02-02,3,1.041,1.0286323395912536,0.011880557549228024
Cereal Bar 50g,E-commerce,2026-02-09,4,0.965,1.067461864840371,0.10617809828017732
Cereal Bar 50g,E-commerce,2026-02-16,5,0.928,1.1124935754380518,0.19880773215307304
Cereal Bar 50g,E-commerce,2026-02-23,6,1.039,1.1238589091310311,0.08167363727721966
Cereal Bar 50g,E-commerce,2026-03-02,7,0.658,1.065639903306234,0.619513530860538
Cereal Bar 50g,E-commerce,2026-03-09,8,1.143,0.9613381067230884,0.15893428983106878
Cereal Bar 50g,E-commerce,2026-03-16,9,1.199,1.0323873987347538,0.13895963408277417
Cereal Bar 50g,E-commerce,2026-03-23,10,0.877,1.0984386429526878,0.25249560199850374
Cereal Bar 50g,E-commerce,2026-03-30,11,0.993,1.064062158180886,0.07156309988004635
Cereal Bar 50g,E-commerce,2026-04-06,12,1.098,1.1071370379844654,0.008321528219003007
Cereal Bar 50g,E-commerce,2026-04-13,13,0.758,1.0521932597191923,0.38811775688547795
Cereal Bar 50g,E-commerce,2026-04-20,14,0.983,1.0711357362814569,0.08965995552538848
Cereal Bar 50g,E-commerce,2026-04-27,15,1.118,1.0300748254504544,0.07864505773662409
Cereal Bar 50g,E-commerce,2026-05-04,16,0.841,1.0684094024881405,0.27040357014047633
Cereal Bar 50g,E-commerce,2026-05-11,17,0.901,1.0146567618927833,0.1261451297367184
Cereal Bar 50g,E-commerce,2026-05-18,18,0.846,1.0620333222115628,0.25535853689310023
Cereal Bar 50g,E-commerce,2026-05-25,19,1.035,1.1226104265023624,0.08464775507474638
Cereal Bar 50g,E-commerce,2026-06-01,20,1.06,0.9916189513960056,0.06451042321131548
Cereal Bar 50g,E-commerce,2026-06-08,21,1.217,0.9840904880262504,0.19138004270644998
Cereal Bar 50g,E-commerce,2026-06-15,22,1.161,1.018129501261463,0.12305813844835226
Cereal Bar 50g,E-commerce,2026-06-22,23,0.819,0.9717884622823968,0.18655489900170555
Cereal Bar 50g,Supermarkets,2026-01-19,1,3.655,2.7746321816881734,0.24086670815645048
Cereal Bar 50g,Supermarkets,2026-01-26,2,1.658,2.3883094200828623,0.4404761279148748
Cereal Bar 50g,Supermarkets,2026-02-02,3,3.173,2.711228235356063,0.14553159932049706
Cereal Bar 50g,Supermarkets,2026-02-09,4,3.372,2.862060033311974,0.15122774812812154
Cereal Bar 50g,Supermarkets,2026-02-16,5,2.996,2.4788262221791157,0.17262142116851945
Cereal Bar 50g,Supermarkets,2026-02-23,6,3.891,2.289819698718608,0.4115086870422493
Cereal Bar 50g,Supermarkets,2026-03-02,7,2.674,2.6469176343775627,0.010128035012130616
Cereal Bar 50g,Supermarkets,2026-03-09,8,2.43,2.1271209861551754,0.12464156948346697
Cereal Bar 50g,Supermarkets,2026-03-16,9,4.057,2.20033503305588,0.45764480328915946
Cereal Bar 50g,Supermarkets,2026-03-23,10,2.773,2.471390654073061,0.10876644281534047
Cereal Bar 50g,Supermarkets,2026-03-30,11,2.904,2.1529285808940566,0.25863340878303837
Cereal Bar 50g,Supermarkets,2026-04-06,12,1.521,2.116707010514791,0.3916548392602178
Cereal Bar 50g,Supermarkets,2026-04-13,13,2.936,2.68085865666207,0.08690100249929501
Cereal Bar 50g,Supermarkets,2026-04-20,14,2.185,2.436463403536614,0.1150862258748806
Cereal Bar 50g,Supermarkets,2026-04-27,15,2.426,2.3371706669205703,0.03661555361889112
Cereal Bar 50g,Supermarkets,2026-05-04,16,1.765,3.109287115113088,0.7616357592708716
Cereal Bar 50g,Supermarkets,2026-05-11,17,4.292,2.6015048706129824,0.3938711857844868
Cereal Bar 50g,Supermarkets,2026-05-18,18,2.244,2.327725314776859,0.037310746335498496
Cereal Bar 50g,Supermarkets,2026-05-25,19,2.802,2.641994714842927,0.05710395615884119
Cereal Bar 50g,Supermarkets,2026-06-01,20,1.884,2.350749701023939,0.2477440026666343
Cereal Bar 50g,Supermarkets,2026-06-08,21,3.15,2.8410266927394354,0.09808676420970301
Cereal Bar 50g,Supermarkets,2026-06-15,22,2.255,2.7418727335988584,0.21590808585315235
Cereal Bar 50g,Supermarkets,2026-06-22,23,2.092,2.5357504798900012,0.2121178202151057
Cereal Bar 50g,Traditional,2026-01-19,1,1.666,2.4604581012328053,0.4768656069824762
Cereal Bar 50g,Traditional,2026-01-26,2,0.878,2.198923985063273,1.504469231279354
Cereal Bar 50g,Traditional,2026-02-02,3,1.584,1.8869690901360645,0.19126836498488917
Cereal Bar 50g,Traditional,2026-02-09,4,0.921,1.1360436414624993,0.23348929583333247
Cereal Bar 50g,Traditional,2026-02-16,5,1.074,1.691827780125466,0.5752586407127243
Cereal Bar 50g,Traditional,2026-02-23,6,1.492,1.0814182269103743,0.2751888559581942
Cereal Bar 50g,Traditional,2026-03-02,7,1.741,1.391160204771771,0.20094186974625447
Cereal Bar 50g,Traditional,2026-03-09,8,1.581,1.1983362970424327,0.24203902780364786
Cereal Bar 50g,Traditional,2026-03-16,9,1.257,1.255794135509068,0.0009593194040826187
Cereal Bar 50g,Traditional,2026-03-23,10,1.581,1.209389294252996,0.23504788472296265
Cereal Bar 50g,Traditional,2026-03-30,11,4.965,1.3157639684544826,0.7349921513686843
Cereal Bar 50g,Traditional,2026-04-06,12,4.108,1.883842113890386,0.5414211017793608
Cereal Bar 50g,Traditional,2026-04-13,13,1.072,1.0137655259825706,0.05432320337446775
Cereal Bar 50g,Traditional,2026-04-20,14,1.441,1.0751038277524392,0.2539182319552817
Cereal Bar 50g,Traditional,2026-04-27,15,1.067,0.8777443675576977,0.17737172675004897
Cereal Bar 50g,Traditional,2026-05-04,16,1.125,1.4715310168016682,0.3080275704903717
Cereal Bar 50g,Traditional,2026-05-11,17,1.729,0.9102241302780104,0.47355458052168287
Cereal Bar 50g,Traditional,2026-05-18,18,1.902,1.8004399303520218,0.05339646143426822
Cereal Bar 50g,Traditional,2026-05-25,19,1.808,1.7520074845801528,0.03096931162602173
Cereal Bar 50g,Traditional,2026-06-01,20,4.012,1.9763060589160675,0.5074012814267029
Cereal Bar 50g,Traditional,2026-06-08,21,1.191,2.771367640706962,1.326924971206517
Cereal Bar 50g,Traditional,2026-06-15,22,1.07,2.5649295735015403,1.397130442524804
Cereal Bar 50g,Traditional,2026-06-22,23,2.893,2.1904102429059154,0.24285854030213774
Energy Drink 350ml,E-commerce,2026-01-19,1,1.102,1.1764153520470255,0.06752754269240056
Energy Drink 350ml,E-commerce,2026-01-26,2,2.745,1.6922942669536933,0.3834993563010225
Energy Drink 350ml,E-commerce,2026-02-02,3,0.746,1.38451541896286,0.8559187921754154
Energy Drink 350ml,E-commerce,2026-02-09,4,2.386,1.295986298493275,0.45683725964238264
Energy Drink 350ml,E-commerce,2026-02-16,5,2.234,1.1878244765372707,0.4682970113978197
Energy Drink 350ml,E-commerce,2026-02-23,6,2.208,1.4966965278286524,0.3221483116718061
Energy Drink 350ml,E-commerce,2026-03-02,7,0.581,1.2206613755075666,1.1009662229045898
Energy Drink 350ml,E-commerce,2026-03-09,8,0.371,0.5860731336241988,0.5797119504695385
Energy Drink 350ml,E-commerce,2026-03-16,9,1.923,1.5106762524188642,0.21441692541920743
Energy Drink 350ml,E-commerce,2026-03-23,10,0.276,1.2088452182187102,3.3798739790532975
Energy Drink 350ml,E-commerce,2026-03-30,11,2.435,1.5039942779493014,0.3823432123411493
Energy Drink 350ml,E-commerce,2026-04-06,12,1.689,1.3824469230176513,0.18149974954549958
Energy Drink 350ml,E-commerce,2026-04-13,13,0.374,2.578843954596842,5.895304691435406
Energy Drink 350ml,E-commerce,2026-04-20,14,2.133,2.4905783499867353,0.16764104546963682
Energy Drink 350ml,E-commerce,2026-04-27,15,2.895,2.165588912799522,0.25195547053557105
Energy Drink 350ml,E-commerce,2026-05-04,16,2.279,2.628376329985473,0.15330247037537215
Energy Drink 350ml,E-commerce,2026-05-11,17,0.257,2.801551492563785,9.900978570287101
Energy Drink 350ml,E-commerce,2026-05-18,18,1.383,2.865454110751971,1.0719118660534859
Energy Drink 350ml,E-commerce,2026-05-25,19,0.955,2.740911590796032,1.8700644929801384
Energy Drink 350ml,E-commerce,2026-06-01,20,1.893,1.6079721937514362,0.1505693641038372
Energy Drink 350ml,E-commerce,2026-06-08,21,0.549,2.851364855076541,4.19374290542175
Energy Drink 350ml,E-commerce,2026-06-15,22,0.411,1.4694962384943695,2.575416638672432
Energy Drink 350ml,E-commerce,2026-06-22,23,2.73,3.024198684718133,0.10776508597733811
