Product,Channel,Week,Horizon,Actual,Predicted,APE
Cereal Bar 50g,E-commerce,2026-01-19,1,0.642,0.9982093073600946,0.5548431578817673
Cereal Bar 50g,E-commerce,2026-01-26,2,1.121,0.9982093073600946,0.10953674633354629
Cereal Bar 50g,E-commerce,2026-02-02,3,1.041,0.9982093073600946,0.04110537237262759
Cereal Bar 50g,E-commerce,2026-02-09,4,0.965,0.9982093073600946,0.03441379001046077
Cereal Bar 50g,E-commerce,2026-02-16,5,0.928,0.9982093073600946,0.07565658120699845
Cereal Bar 50g,E-commerce,2026-02-23,6,1.039,0.9982093073600946,0.039259569432055164
Cereal Bar 50g,E-commerce,2026-03-02,7,0.658,0.9982093073600946,0.5170354215199006
Cereal Bar 50g,E-commerce,2026-03-09,8,1.143,0.9982093073600946,0.12667602155722257
Cereal Bar 50g,E-commerce,2026-03-16,9,1.199,0.9982093073600946,0.16746513147615133
Cereal Bar 50g,E-commerce,2026-03-23,10,0.877,0.9982093073600946,0.13820901637411015
Cereal Bar 50g,E-commerce,2026-03-30,11,0.993,0.9982093073600946,0.005246029567064066
Cereal Bar 50g,E-commerce,2026-04-06,12,1.098,0.9982093073600946,0.09088405522760061
Cereal Bar 50g,E-commerce,2026-04-13,13,0.758,0.9982093073600946,0.316898822374795
Cereal Bar 50g,E-commerce,2026-04-20,14,0.983,0.9982093073600946,0.015472337090635429
Cereal Bar 50g,E-commerce,2026-04-27,15,1.118,0.9982093073600946,0.10714731005358272
Cereal Bar 50g,E-commerce,2026-05-04,16,0.841,0.9982093073600946,0.18693139995255012
Cereal Bar 50g,E-commerce,2026-05-11,17,0.901,0.9982093073600946,0.10789046321875093
Cereal Bar 50g,E-commerce,2026-05-18,18,0.846,0.9982093073600946,0.17991643895992274
Cereal Bar 50g,E-commerce,2026-05-25,19,1.035,0.9982093073600946,0.035546562937106584
Cereal Bar 50g,E-commerce,2026-06-01,20,1.06,0.9982093073600946,0.058293106264061735
Cereal Bar 50g,E-commerce,2026-06-08,21,1.217,0.9982093073600946,0.1797787121116725
Cereal Bar 50g,E-commerce,2026-06-15,22,1.161,0.9982093073600946,0.14021592819974626
Cereal Bar 50g,E-commerce,2026-06-22,23,0.819,0.9982093073600946,0.2188147831014587
Cereal Bar 50g,Supermarkets,2026-01-19,1,3.655,2.685035179870748,0.2653802517453493
Cereal Bar 50g,Supermarkets,2026-01-26,2,1.658,2.332406806492912,0.4067592319016359
Cereal Bar 50g,Supermarkets,2026-02-02,3,3.173,2.8511088679645042,0.1014469372945149
Cereal Bar 50g,Supermarkets,2026-02-09,4,3.372,2.8137488611984964,0.16555490474540435
Cereal Bar 50g,Supermarkets,2026-02-16,5,2.996,2.6488076488639067,0.1158852974419537
Cereal Bar 50g,Supermarkets,2026-02-23,6,3.891,2.0461198082603596,0.4741403731019379
Cereal Bar 50g,Supermarkets,2026-03-02,7,2.674,2.853437937798853,0.06710468878042367
Cereal Bar 50g,Supermarkets,2026-03-09,8,2.43,2.157960150687903,0.1119505552724679
Cereal Bar 50g,Supermarkets,2026-03-16,9,4.057,2.373582113998383,0.4149415543509039
Cereal Bar 50g,Supermarkets,2026-03-23,10,2.773,2.5570380659405836,0.07788025029189201
Cereal Bar 50g,Supermarkets,2026-03-30,11,2.904,2.1989150704237965,0.24279784076315544
Cereal Bar 50g,Supermarkets,2026-04-06,12,1.521,2.3044982707077657,0.5151204935619762
Cereal Bar 50g,Supermarkets,2026-04-13,13,2.936,2.555018218280901,0.12976218723402555
Cereal Bar 50g,Supermarkets,2026-04-20,14,2.185,2.7667810809472506,0.26626136427791786
Cereal Bar 50g,Supermarkets,2026-04-27,15,2.426,2.289878762197962,0.05610933132812787
Cereal Bar 50g,Supermarkets,2026-05-04,16,1.765,2.8996776974792766,0.6428768824245195
Cereal Bar 50g,Supermarkets,2026-05-11,17,4.292,2.8011450025775906,0.3473567095578773
Cereal Bar 50g,Supermarkets,2026-05-18,18,2.244,2.1383274584718053,0.047091150413634104
Cereal Bar 50g,Supermarkets,2026-05-25,19,2.802,2.50279599508142,0.10678230011369744
Cereal Bar 50g,Supermarkets,2026-06-01,20,1.884,2.2057152875502886,0.17076182990991967
Cereal Bar 50g,Supermarkets,2026-06-08,21,3.15,2.6288512447921057,0.16544404927234735
Cereal Bar 50g,Supermarkets,2026-06-15,22,2.255,2.379636495794961,0.055271173301534936
Cereal Bar 50g,Supermarkets,2026-06-22,23,2.092,2.303048936908922,0.10088381305397796
Cereal Bar 50g,Traditional,2026-01-19,1,1.666,2.2768677065812413,0.36666729086509087
Cereal Bar 50g,Traditional,2026-01-26,2,0.878,1.9948776064728464,1.2720701668255652
Cereal Bar 50g,Traditional,2026-02-02,3,1.584,1.8115062902287766,0.14362770847776296
Cereal Bar 50g,Traditional,2026-02-09,4,0.921,1.9555317310550664,1.1232700662921458
Cereal Bar 50g,Traditional,2026-02-16,5,1.074,1.7784228477798056,0.6558871953257035
Cereal Bar 50g,Traditional,2026-02-23,6,1.492,1.5736747376373015,0.05474178125824496
Cereal Bar 50g,Traditional,2026-03-02,7,1.741,1.5910189813681332,0.08614647824920554
Cereal Bar 50g,Traditional,2026-03-09,8,1.581,1.633115325768431,0.03296352041013981
Cereal Bar 50g,Traditional,2026-03-16,9,1.257,1.8941232470331946,0.5068601806151112
Cereal Bar 50g,Traditional,2026-03-23,10,1.581,1.6441374083378772,0.039935109638126055
Cereal Bar 50g,Traditional,2026-03-30,11,4.965,1.9764345146581603,0.6019265831504209
Cereal Bar 50g,Traditional,2026-04-06,12,4.108,2.176676611474939,0.4701371442368697
Cereal Bar 50g,Traditional,2026-04-13,13,1.072,1.618610494548494,0.5098978493922518
Cereal Bar 50g,Traditional,2026-04-20,14,1.441,1.6849909986870901,0.1693206097759126
Cereal Bar 50g,Traditional,2026-04-27,15,1.067,1.5686118033017702,0.4701141549219965
Cereal Bar 50g,Traditional,2026-05-04,16,1.125,2.1293553397279212,0.8927603019803745
Cereal Bar 50g,Traditional,2026-05-11,17,1.729,1.74050250373063,0.006652691573528049
Cereal Bar 50g,Traditional,2026-05-18,18,1.902,1.9508750944322215,0.025696684769832598
Cereal Bar 50g,Traditional,2026-05-25,19,1.808,1.823062551328927,0.008331057150955124
Cereal Bar 50g,Traditional,2026-06-01,20,4.012,1.9846595349111644,0.5053191587958213
Cereal Bar 50g,Traditional,2026-06-08,21,1.191,2.328886871387118,0.9554045939438436
Cereal Bar 50g,Traditional,2026-06-15,22,1.07,2.0718064220391756,0.9362676841487622
Cereal Bar 50g,Traditional,2026-06-22,23,2.893,1.738030131548126,0.3992291283967763
Energy Drink 350ml,E-commerce,2026-01-19,1,1.102,1.096727365746118,0.004784604586099841
Energy Drink 350ml,E-commerce,2026-01-26,2,2.745,1.3800685245069702,0.4972427961723242
Energy Drink 350ml,E-commerce,2026-02-02,3,0.746,1.3442353904779596,0.8019241159221978
Energy Drink 350ml,E-commerce,2026-02-09,4,2.386,1.3633437421967711,0.42860698147662574
Energy Drink 350ml,E-commerce,2026-02-16,5,2.234,1.1325347694613614,0.4930462088355589
Energy Drink 350ml,E-commerce,2026-02-23,6,2.208,1.235895393801661,0.4402647672999724
Energy Drink 350ml,E-commerce,2026-03-02,7,0.581,1.3149162542884132,1.2631949299284222
Energy Drink 350ml,E-commerce,2026-03-09,8,0.371,1.1313950945081028,2.0495824649814094
Energy Drink 350ml,E-commerce,2026-03-16,9,1.923,1.7243513105501416,0.10330145057194928
Energy Drink 350ml,E-commerce,2026-03-23,10,0.276,1.4432479697412133,4.229159310656569
Energy Drink 350ml,E-commerce,2026-03-30,11,2.435,1.5424491318482392,0.3665506645387108
Energy Drink 350ml,E-commerce,2026-04-06,12,1.689,1.5140142786676887,0.10360315058159347
Energy Drink 350ml,E-commerce,2026-04-13,13,0.374,2.0469247576867713,4.47306084942987
Energy Drink 350ml,E-commerce,2026-04-20,14,2.133,2.4856008543123793,0.16530747975263915
Energy Drink 350ml,E-commerce,2026-04-27,15,2.895,1.6315532597485647,0.4364237444737255
Energy Drink 350ml,E-commerce,2026-05-04,16,2.279,2.374841524567028,0.042054201214141336
Energy Drink 350ml,E-commerce,2026-05-11,17,0.257,1.5973963436245073,5.215549975192635
Energy Drink 350ml,E-commerce,2026-05-18,18,1.383,1.7707434350429223,0.28036401666154903
Energy Drink 350ml,E-commerce,2026-05-25,19,0.955,2.245495933034007,1.3513046419204262
Energy Drink 350ml,E-commerce,2026-06-01,20,1.893,1.5955386132032363,0.15713755245470876
Energy Drink 350ml,E-commerce,2026-06-08,21,0.549,2.427788634398044,3.4222015198507174
Energy Drink 350ml,E-commerce,2026-06-15,22,0.411,1.5823977005638417,2.850116059766038
Energy Drink 350ml,E-commerce,2026-06-22,23,2.73,2.189653797707958,0.19792901182858674
Energy Drink 350ml,Supermarkets,2026-01-19,1,4.247,4.150449000957753,0.0227339296073103
Energy Drink 350ml,Supermarkets,2026-01-26,2,4.573,5.058089877142687,0.10607694667454336
Energy Drink 350ml,Supermarkets,2026-02-02,3,5.445,5.151595199581674,0.053885179140188436
Energy Drink 350ml,Supermarkets,2026-02-09,4,3.163,6.130568706609315,0.938213312238165
Energy Drink 350ml,Supermarkets,2026-02-16,5,4.642,5.196561937056207,0.11946616481176356
Energy Drink 350ml,Supermarkets,2026-02-23,6,6.096,6.817432507767942,0.11834522765222139
Energy Drink 350ml,Supermarkets,2026-03-02,7,5.575,5.307510868780714,0.04798011322319039
Energy Drink 350ml,Supermarkets,2026-03-09,8,5.172,6.046542080960315,0.16909166298536654
Energy Drink 350ml,Supermarkets,2026-03-16,9,6.254,5.5049736638829065,0.11976756253871011
Energy Drink 350ml,Supermarkets,2026-03-23,10,6.289,5.181353487421291,0.17612442559686886
Energy Drink 350ml,Supermarkets,2026-03-30,11,6.569,6.807714546470429,0.036339556472892186
Energy Drink 350ml,Supermarkets,2026-04-06,12,6.047,4.855571624334423,0.19702800986697158
Energy Drink 350ml,Supermarkets,2026-04-13,13,7.648,5.440425347038144,0.28864731341028443
Energy Drink 350ml,Supermarkets,2026-04-20,14,4.944,5.330178068502568,0.07811045074890133
Energy Drink 350ml,Supermarkets,2026-04-27,15,3.988,4.970837786461947,0.24644879299447006
Energy Drink 350ml,Supermarkets,2026-05-04,16,6.413,5.408761237200197,0.15659422466861106
Energy Drink 350ml,Supermarkets,2026-05-11,17,2.684,5.201976788213981,0.9381433637160883
Energy Drink 350ml,Supermarkets,2026-05-18,18,4.98,6.111219201492325,0.22715245009886037
Energy Drink 350ml,Supermarkets,2026-05-25,19,7.509,4.604760605667715,0.3867677978868405
Energy Drink 350ml,Supermarkets,2026-06-01,20,3.691,5.664549897328859,0.5346924674421185
Energy Drink 350ml,Supermarkets,2026-06-08,21,5.12,5.505801425952861,0.07535184100641822
Energy Drink 350ml,Supermarkets,2026-06-15,22,5.425,5.368799510383968,0.010359537256411382
Energy Drink 350ml,Supermarkets,2026-06-22,23,4.892,5.585001212271264,0.14166010062781345
Energy Drink 350ml,Traditional,2026-01-19,1,1.513,2.5934381461222116,0.714103202988904
Energy Drink 350ml,Traditional,2026-01-26,2,3.073,1.9851274301245687,0.3540099478930788
Energy Drink 350ml,Traditional,2026-02-02,3,2.224,2.267559630760417,0.019586164910259402
Energy Drink 350ml,Traditional,2026-02-09,4,2.643,3.044867740684824,0.15204984513235884
Energy Drink 350ml,Traditional,2026-02-16,5,3.019,2.960234858423068,0.019465101549165992
Energy Drink 350ml,Traditional,2026-02-23,6,3.455,2.439602592244029,0.2938921585400784
Energy Drink 350ml,Traditional,2026-03-02,7,3.477,3.4927352402300924,0.00452552206790122
Energy Drink 350ml,Traditional,2026-03-09,8,3.053,3.0713204549742215,0.006000804118644456
Energy Drink 350ml,Traditional,2026-03-16,9,3.517,3.2033471855324347,0.08918192051963754
Energy Drink 350ml,Traditional,2026-03-23,10,2.968,3.659916741001421,0.2331255865907753
Energy Drink 350ml,Traditional,2026-03-30,11,4.146,3.066716466054656,0.26031923153529757
