Product,Channel,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,objective,random_state,n_jobs,verbosity
Cereal Bar 50g,E-commerce,250,0.024446268671328125,8,3,0.7027561958869857,0.6900110999928879,0.25396184449419146,0.36596484911131255,0.888199125946467,reg:squarederror,42,-1,0
Cereal Bar 50g,Supermarkets,450,0.021015800792517768,7,26,0.6211269378063655,0.9697053710547786,0.3371559811214393,4.990886134500539,0.0024469941204938034,reg:squarederror,42,-1,0
Cereal Bar 50g,Traditional,200,0.1365764078466724,7,22,0.751444176974415,0.8559370287924123,0.6938496971529928,1.032974145576242,2.9679962916602225,reg:squarederror,42,-1,0
Energy Drink 350ml,E-commerce,500,0.16791128711264913,3,28,0.7517253457424667,0.6458969060356188,2.4785373199050214,4.040490467255893,4.722155609223745,reg:squarederror,42,-1,0
Energy Drink 350ml,Supermarkets,300,0.09742569618886163,4,8,0.7015446106673621,0.8864932256799045,1.5478468115727635,3.770634003396035,1.4423707263224268,reg:squarederror,42,-1,0
Energy Drink 350ml,Traditional,400,0.10327931833188163,4,23,0.6337933612632854,0.8168880927624511,1.0898033147357749,0.8380596034494912,0.22358227800500652,reg:squarederror,42,-1,0
Flavored Water 500ml,E-commerce,350,0.1491218959010169,5,19,0.8099843006514594,0.8562891141811315,1.526095557629804,0.031158822335491693,0.28348051438330213,reg:squarederror,42,-1,0
Flavored Water 500ml,Supermarkets,350,0.05715531337403445,3,26,0.6825181498992391,0.6055814226712181,4.219398483467835,4.697886931795921,4.548423421827559,reg:squarederror,42,-1,0
Flavored Water 500ml,Traditional,350,0.06656633057980077,3,25,0.6300043786410894,0.6502737470602218,3.3942935438596367,1.047127815381317,0.7307750396928632,reg:squarederror,42,-1,0
Natural Juice 1L,E-commerce,500,0.16739781661661385,3,15,0.6388303087511908,0.7108537767093829,1.9430525002854542,0.5664035479840446,1.2374402368209747,reg:squarederror,42,-1,0
Natural Juice 1L,Supermarkets,500,0.09100752607016555,3,1,0.8462176511679361,0.6687494468844493,3.5646006539844106,0.8650962862681861,1.3052217894731053,reg:squarederror,42,-1,0
Natural Juice 1L,Traditional,250,0.018537079176607896,5,20,0.9855550472605941,0.8584225215685294,0.4541343313048072,3.4496386082007793,1.6106796882147685,reg:squarederror,42,-1,0
Whole Grain Crackers 200g,E-commerce,350,0.012808965417777504,6,9,0.9075202240404158,0.7277920384427395,0.7927342302777453,0.3127341995226032,0.0017907611211110397,reg:squarederror,42,-1,0
Whole Grain Crackers 200g,Supermarkets,300,0.1782545413950403,8,27,0.7133288456774948,0.6005426879501481,1.3691877748218204,4.972279027997873,3.53206175482729,reg:squarederror,42,-1,0
Whole Grain Crackers 200g,Traditional,550,0.13114201021538555,5,26,0.7628944866007054,0.8830405303680052,4.195297741358082,2.1055505757804984,3.764341512198345,reg:squarederror,42,-1,0
