Product,Channel,Week,Horizon,Actual,Predicted,APE
Cereal Bar 50g,E-commerce,2026-01-19,1,0.642,1.1779020666400621,0.8347384215577291
Cereal Bar 50g,E-commerce,2026-01-26,2,1.121,1.0648807971824863,0.05006173311107378
Cereal Bar 50g,E-commerce,2026-02-02,3,1.041,1.02863233959086,0.01188055754960599
Cereal Bar 50g,E-commerce,2026-02-09,4,0.965,1.0674618648400278,0.1061780982798216
Cereal Bar 50g,E-commerce,2026-02-16,5,0.928,1.1124935754373655,0.19880773215233344
Cereal Bar 50g,E-commerce,2026-02-23,6,1.039,1.1238589091307014,0.0816736372769023
Cereal Bar 50g,E-commerce,2026-03-02,7,0.658,1.0656399033056612,0.6195135308596673
Cereal Bar 50g,E-commerce,2026-03-09,8,1.143,0.9613381067228537,0.1589342898312741
Cereal Bar 50g,E-commerce,2026-03-16,9,1.199,1.0323873987345398,0.1389596340829527
Cereal Bar 50g,E-commerce,2026-03-23,10,0.877,1.0984386429518675,0.2524956019975685
Cereal Bar 50g,E-commerce,2026-03-30,11,0.993,1.064062158180214,0.0715630998793697
Cereal Bar 50g,E-commerce,2026-04-06,12,1.098,1.1071370379837069,0.008321528218312202
Cereal Bar 50g,E-commerce,2026-04-13,13,0.758,1.0521932597187544,0.3881177568849003
Cereal Bar 50g,E-commerce,2026-04-20,14,0.983,1.071135736280544,0.08965995552445988
Cereal Bar 50g,E-commerce,2026-04-27,15,1.118,1.0300748254500889,0.07864505773695099
Cereal Bar 50g,E-commerce,2026-05-04,16,0.841,1.0684094024881086,0.2704035701404383
Cereal Bar 50g,E-commerce,2026-05-11,17,0.901,1.0146567618926137,0.12614512973653014
Cereal Bar 50g,E-commerce,2026-05-18,18,0.846,1.0620333222113258,0.2553585368928202
Cereal Bar 50g,E-commerce,2026-05-25,19,1.035,1.1226104265014691,0.08464775507388331
Cereal Bar 50g,E-commerce,2026-06-01,20,1.06,0.9916189513951641,0.0645104232121094
Cereal Bar 50g,E-commerce,2026-06-08,21,1.217,0.984090488026239,0.1913800427064594
Cereal Bar 50g,E-commerce,2026-06-15,22,1.161,1.0181295012613656,0.12305813844843622
Cereal Bar 50g,E-commerce,2026-06-22,23,0.819,0.9717884622823028,0.18655489900159075
Cereal Bar 50g,Supermarkets,2026-01-19,1,3.655,2.774632181691638,0.2408667081555025
Cereal Bar 50g,Supermarkets,2026-01-26,2,1.658,2.3883094200871846,0.44047612791748175
Cereal Bar 50g,Supermarkets,2026-02-02,3,3.173,2.711228235358778,0.14553159931964135
Cereal Bar 50g,Supermarkets,2026-02-09,4,3.372,2.862060033314332,0.15122774812742235
Cereal Bar 50g,Supermarkets,2026-02-16,5,2.996,2.4788262221820676,0.17262142116753418
Cereal Bar 50g,Supermarkets,2026-02-23,6,3.891,2.2898196987224733,0.4115086870412559
Cereal Bar 50g,Supermarkets,2026-03-02,7,2.674,2.6469176343824605,0.010128035010298955
Cereal Bar 50g,Supermarkets,2026-03-09,8,2.43,2.1271209861581846,0.12464156948222863
Cereal Bar 50g,Supermarkets,2026-03-16,9,4.057,2.2003350330593476,0.4576448032883048
Cereal Bar 50g,Supermarkets,2026-03-23,10,2.773,2.4713906540782786,0.10876644281345889
Cereal Bar 50g,Supermarkets,2026-03-30,11,2.904,2.1529285808957574,0.25863340878245267
Cereal Bar 50g,Supermarkets,2026-04-06,12,1.521,2.1167070105197556,0.39165483926348177
Cereal Bar 50g,Supermarkets,2026-04-13,13,2.936,2.680858656667137,0.08690100249756917
Cereal Bar 50g,Supermarkets,2026-04-20,14,2.185,2.436463403542092,0.11508622587738762
Cereal Bar 50g,Supermarkets,2026-04-27,15,2.426,2.337170666924823,0.0366155536171382
Cereal Bar 50g,Supermarkets,2026-05-04,16,1.765,3.109287115115459,0.7616357592722148
Cereal Bar 50g,Supermarkets,2026-05-11,17,4.292,2.6015048706184793,0.39387118578320607
Cereal Bar 50g,Supermarkets,2026-05-18,18,2.244,2.3277253147808667,0.037310746337284546
Cereal Bar 50g,Supermarkets,2026-05-25,19,2.802,2.641994714846238,0.05710395615765949
Cereal Bar 50g,Supermarkets,2026-06-01,20,1.884,2.3507497010274987,0.24774400266852378
Cereal Bar 50g,Supermarkets,2026-06-08,21,3.15,2.8410266927420724,0.09808676420886588
Cereal Bar 50g,Supermarkets,2026-06-15,22,2.255,2.741872733602694,0.21590808585485327
Cereal Bar 50g,Supermarkets,2026-06-22,23,2.092,2.5357504798941073,0.21211782021706846
Cereal Bar 50g,Traditional,2026-01-19,1,1.666,2.4604581012340327,0.476865606983213
Cereal Bar 50g,Traditional,2026-01-26,2,0.878,2.1989239850635824,1.5044692312797066
Cereal Bar 50g,Traditional,2026-02-02,3,1.584,1.8869690901369651,0.1912683649854577
Cereal Bar 50g,Traditional,2026-02-09,4,0.921,1.1360436414624648,0.2334892958332951
Cereal Bar 50g,Traditional,2026-02-16,5,1.074,1.6918277801262613,0.5752586407134649
Cereal Bar 50g,Traditional,2026-02-23,6,1.492,1.08141822691096,0.27518885595780157
Cereal Bar 50g,Traditional,2026-03-02,7,1.741,1.39116020477265,0.20094186974574968
Cereal Bar 50g,Traditional,2026-03-09,8,1.581,1.198336297042818,0.24203902780340417
Cereal Bar 50g,Traditional,2026-03-16,9,1.257,1.25579413551013,0.0009593194032377188
Cereal Bar 50g,Traditional,2026-03-23,10,1.581,1.209389294253803,0.23504788472245228
Cereal Bar 50g,Traditional,2026-03-30,11,4.965,1.315763968454746,0.7349921513686312
Cereal Bar 50g,Traditional,2026-04-06,12,4.108,1.8838421138916126,0.5414211017790621
Cereal Bar 50g,Traditional,2026-04-13,13,1.072,1.013765525983204,0.054323203373877006
Cereal Bar 50g,Traditional,2026-04-20,14,1.441,1.0751038277529545,0.253918231954924
Cereal Bar 50g,Traditional,2026-04-27,15,1.067,0.8777443675580154,0.17737172674975119
Cereal Bar 50g,Traditional,2026-05-04,16,1.125,1.4715310168021407,0.30802757049079177
Cereal Bar 50g,Traditional,2026-05-11,17,1.729,0.9102241302789896,0.4735545805211165
Cereal Bar 50g,Traditional,2026-05-18,18,1.902,1.8004399303526684,0.05339646143392826
Cereal Bar 50g,Traditional,2026-05-25,19,1.808,1.7520074845808842,0.030969311625617186
Cereal Bar 50g,Traditional,2026-06-01,20,4.012,1.9763060589171706,0.5074012814264279
Cereal Bar 50g,Traditional,2026-06-08,21,1.191,2.7713676407077283,1.3269249712071605
Cereal Bar 50g,Traditional,2026-06-15,22,1.07,2.5649295735022073,1.3971304425254272
Cereal Bar 50g,Traditional,2026-06-22,23,2.893,2.190410242906582,0.24285854030190734
Energy Drink 350ml,E-commerce,2026-01-19,1,1.102,1.1764153520518987,0.06752754269682272
Energy Drink 350ml,E-commerce,2026-01-26,2,2.745,1.6922942669586407,0.38349935629922016
Energy Drink 350ml,E-commerce,2026-02-02,3,0.746,1.3845154189665079,0.8559187921803054
Energy Drink 350ml,E-commerce,2026-02-09,4,2.386,1.2959862984984125,0.4568372596402295
Energy Drink 350ml,E-commerce,2026-02-16,5,2.234,1.187824476542198,0.4682970113956142
Energy Drink 350ml,E-commerce,2026-02-23,6,2.208,1.4966965278331246,0.3221483116697806
Energy Drink 350ml,E-commerce,2026-03-02,7,0.581,1.2206613755124371,1.1009662229129729
Energy Drink 350ml,E-commerce,2026-03-09,8,0.371,0.5860731336294502,0.5797119504836934
Energy Drink 350ml,E-commerce,2026-03-16,9,1.923,1.5106762524220116,0.21441692541757065
Energy Drink 350ml,E-commerce,2026-03-23,10,0.276,1.208845218223061,3.379873979069061
Energy Drink 350ml,E-commerce,2026-03-30,11,2.435,1.5039942779544981,0.38234321233901514
Energy Drink 350ml,E-commerce,2026-04-06,12,1.689,1.3824469230227199,0.18149974954249862
Energy Drink 350ml,E-commerce,2026-04-13,13,0.374,2.5788439546004964,5.895304691445177
Energy Drink 350ml,E-commerce,2026-04-20,14,2.133,2.490578349990337,0.1676410454713253
Energy Drink 350ml,E-commerce,2026-04-27,15,2.895,2.165588912804255,0.25195547053393613
Energy Drink 350ml,E-commerce,2026-05-04,16,2.279,2.628376329989612,0.15330247037718825
Energy Drink 350ml,E-commerce,2026-05-11,17,0.257,2.801551492569064,9.900978570307641
Energy Drink 350ml,E-commerce,2026-05-18,18,1.383,2.8654541107566978,1.0719118660569036
Energy Drink 350ml,E-commerce,2026-05-25,19,0.955,2.740911590801729,1.8700644929861037
Energy Drink 350ml,E-commerce,2026-06-01,20,1.893,1.6079721937572111,0.15056936410078653
Energy Drink 350ml,E-commerce,2026-06-08,21,0.549,2.8513648550817066,4.19374290543116
Energy Drink 350ml,E-commerce,2026-06-15,22,0.411,1.4694962385002903,2.575416638686838
Energy Drink 350ml,E-commerce,2026-06-22,23,2.73,3.0241986847242464,0.10776508597957743
Energy Drink 350ml,Supermarkets,2026-01-19,1,4.247,4.070127960779972,0.041646347826707696
Energy Drink 350ml,Supermarkets,2026-01-26,2,4.573,5.294525432966889,0.15777945177495925
Energy Drink 350ml,Supermarkets,2026-02-02,3,5.445,5.367110372452478,0.014304798447662491
Energy Drink 350ml,Supermarkets,2026-02-09,4,3.163,6.080484491269163,0.9223789096646107
Energy Drink 350ml,Supermarkets,2026-02-16,5,4.642,5.44751465341652,0.1735274996588797
Energy Drink 350ml,Supermarkets,2026-02-23,6,6.096,6.402843699758177,0.0503352525850027
Energy Drink 350ml,Supermarkets,2026-03-02,7,5.575,5.450638786837539,0.0223069440650155
Energy Drink 350ml,Supermarkets,2026-03-09,8,5.172,6.31751865096835,0.2214846579598512
Energy Drink 350ml,Supermarkets,2026-03-16,9,6.254,5.863410856803037,0.06245429216452865
Energy Drink 350ml,Supermarkets,2026-03-23,10,6.289,5.7486557251185255,0.0859189497346914
Energy Drink 350ml,Supermarkets,2026-03-30,11,6.569,7.381326265496266,0.1236605671329375
Energy Drink 350ml,Supermarkets,2026-04-06,12,6.047,5.180939027125958,0.14322159300050305
Energy Drink 350ml,Supermarkets,2026-04-13,13,7.648,5.571723361082576,0.2714796860509184
Energy Drink 350ml,Supermarkets,2026-04-20,14,4.944,5.986185137586775,0.2107979647222441
Energy Drink 350ml,Supermarkets,2026-04-27,15,3.988,5.656788300992108,0.41845243254566405
Energy Drink 350ml,Supermarkets,2026-05-04,16,6.413,6.534852983347184,0.01900093300283545
Energy Drink 350ml,Supermarkets,2026-05-11,17,2.684,6.313533763316757,1.3522853067499092
Energy Drink 350ml,Supermarkets,2026-05-18,18,4.98,6.631503234842679,0.3316271555908993
Energy Drink 350ml,Supermarkets,2026-05-25,19,7.509,5.713829404035522,0.239069196426219
Energy Drink 350ml,Supermarkets,2026-06-01,20,3.691,5.767103646011348,0.5624772814986042
Energy Drink 350ml,Supermarkets,2026-06-08,21,5.12,6.02658338693304,0.17706706776035933
Energy Drink 350ml,Supermarkets,2026-06-15,22,5.425,6.6094582408235825,0.21833331628084474
Energy Drink 350ml,Supermarkets,2026-06-22,23,4.892,5.926071236400754,0.21138005650056296
Energy Drink 350ml,Traditional,2026-01-19,1,1.513,2.417684610435703,0.5979409189925333
Energy Drink 350ml,Traditional,2026-01-26,2,3.073,1.9199195249802468,0.37522957208582924
Energy Drink 350ml,Traditional,2026-02-02,3,2.224,2.75541011122774,0.23894339533621384
Energy Drink 350ml,Traditional,2026-02-09,4,2.643,3.1535507059240055,0.19317090651683913
Energy Drink 350ml,Traditional,2026-02-16,5,3.019,2.9482394777820313,0.023438397554809143
Energy Drink 350ml,Traditional,2026-02-23,6,3.455,2.863479300470198,0.1712071489232423
Energy Drink 350ml,Traditional,2026-03-02,7,3.477,4.001472950872132,0.15084065311249123
Energy Drink 350ml,Traditional,2026-03-09,8,3.053,3.240023153609561,0.061258812187868
Energy Drink 350ml,Traditional,2026-03-16,9,3.517,3.1427975186326234,0.10639820340272294
Energy Drink 350ml,Traditional,2026-03-23,10,2.968,3.4559394748299788,0.16440009259770175
Energy Drink 350ml,Traditional,2026-03-30,11,4.146,3.1236721361942963,0.24658173270759856
Energy Drink 350ml,Traditional,2026-04-06,12,3.486,3.4020836028025863,0.024072403097364872
Energy Drink 350ml,Traditional,2026-04-13,13,3.301,3.415676491945361,0.034739924854698775
Energy Drink 350ml,Traditional,2026-04-20,14,3.463,3.6887225765871916,0.0651812233864255
Energy Drink 350ml,Traditional,2026-04-27,15,3.218,3.38413527672147,0.05162687281587007
Energy Drink 350ml,Traditional,2026-05-04,16,3.311,2.8969253219669056,0.12506030746997718
Energy Drink 350ml,Traditional,2026-05-11,17,3.082,2.9985170093099844,0.02708727796561175
Energy Drink 350ml,Traditional,2026-05-18,18,3.928,3.031445716857706,0.22824701709325207
Energy Drink 350ml,Traditional,2026-05-25,19,3.201,2.941448912536487,0.08108437596485878
Energy Drink 350ml,Traditional,2026-06-01,20,3.273,2.731054439798268,0.16558067833844553
Energy Drink 350ml,Traditional,2026-06-08,21,2.208,2.881678484954666,0.30510800949033784
Energy Drink 350ml,Traditional,2026-06-15,22,3.875,2.9478685353052194,0.2392597328244595
Energy Drink 350ml,Traditional,2026-06-22,23,3.526,2.7216807652760613,0.22811095709697635
Flavored Water 500ml,E-commerce,2026-01-19,1,2.601,2.729033844400772,0.04922485367196148
Flavored Water 500ml,E-commerce,2026-01-26,2,0.232,1.8012684466727857,6.764088132210283
Flavored Water 500ml,E-commerce,2026-02-02,3,0.941,2.690595848261469,1.859294206441519
Flavored Water 500ml,E-commerce,2026-02-09,4,3.348,1.712698409407849,0.4884413353023151
Flavored Water 500ml,E-commerce,2026-02-16,5,2.332,2.3761809932218925,0.0189455374021838
Flavored Water 500ml,E-commerce,2026-02-23,6,4.598,3.358788736571381,0.2695109315851716
Flavored Water 500ml,E-commerce,2026-03-02,7,0.228,2.134306867575739,8.360995033226924
Flavored Water 500ml,E-commerce,2026-03-09,8,0.307,2.797060489002445,8.110946218249007
Flavored Water 500ml,E-commerce,2026-03-16,9,1.731,2.7568233510694147,0.5926189203173972
Flavored Water 500ml,E-commerce,2026-03-23,10,0.387,1.6045697082197878,3.1461749566402784
Flavored Water 500ml,E-commerce,2026-03-30,11,0.805,2.7742014263997805,2.4462129520494162
Flavored Water 500ml,E-commerce,2026-04-06,12,2.56,3.0366148627629337,0.18617768076677094
Flavored Water 500ml,E-commerce,2026-04-13,13,1.312,2.5953905770484367,0.9781940373844791
Flavored Water 500ml,E-commerce,2026-04-20,14,0.927,2.9768371562103484,2.211259068188078
Flavored Water 500ml,E-commerce,2026-04-27,15,4.335,3.8358521399792833,0.11514368166567858
Flavored Water 500ml,E-commerce,2026-05-04,16,2.001,2.9128399569056174,0.45569213238661543
Flavored Water 500ml,E-commerce,2026-05-11,17,2.286,3.338086704473538,0.46023040440662194
Flavored Water 500ml,E-commerce,2026-05-18,18,3.193,3.301402535385344,0.03395005805992607
Flavored Water 500ml,E-commerce,2026-05-25,19,2.505,3.351069683352123,0.33775236860364205
