Product,Channel,n_estimators,learning_rate,max_depth,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain,boosting_type,objective,metric,random_state,n_jobs,verbose
Cereal Bar 50g,E-commerce,300,0.17254716573280354,7,41,9,0.662397808134481,0.6232334448672797,4.330880728874676,3.005575058716044,0.0,gbdt,regression,mape,42,-1,-1
Cereal Bar 50g,Supermarkets,200,0.14926136756526703,2,54,15,0.9351749458488038,0.9497395621289066,1.788798475450789,3.875192677344441,0.0,gbdt,regression,mape,42,-1,-1
Cereal Bar 50g,Traditional,150,0.046445887871172514,3,7,30,0.9006453699263156,0.9594191732124547,2.8571352635844156,0.12904530198245542,0.0,gbdt,regression,mape,42,-1,-1
Energy Drink 350ml,E-commerce,250,0.013269884502272221,6,43,10,0.667282219650943,0.6856140340759986,2.863955102566429,1.1495667644209782,0.0,gbdt,regression,mape,42,-1,-1
Energy Drink 350ml,Supermarkets,400,0.15826541904647565,2,18,6,0.7301321323053057,0.7554709158757928,1.3567451588694794,4.143687545759647,0.0,gbdt,regression,mape,42,-1,-1
Energy Drink 350ml,Traditional,150,0.12047779588332055,6,47,27,0.7840284341711714,0.7227840921869844,0.5962368061610983,2.8141541682015694,0.0,gbdt,regression,mape,42,-1,-1
Flavored Water 500ml,E-commerce,350,0.14327983866763397,2,46,14,0.9665557423871011,0.9517792521984492,1.0649761619588602,4.091504144803178,0.0,gbdt,regression,mape,42,-1,-1
Flavored Water 500ml,Supermarkets,250,0.04996544074124464,4,28,7,0.6990266223944626,0.7731418253000083,3.361682821245247,0.7595208197630995,0.0,gbdt,regression,mape,42,-1,-1
Flavored Water 500ml,Traditional,200,0.19096298660298527,8,40,25,0.9615041711607829,0.7978980490242288,1.3518023555516814,3.869408264994248,0.0,gbdt,regression,mape,42,-1,-1
Natural Juice 1L,E-commerce,550,0.037875244018277666,3,55,19,0.9251153886589237,0.9438828217161559,1.0292361359844389,1.8032226206400188,0.0,gbdt,regression,mape,42,-1,-1
Natural Juice 1L,Supermarkets,200,0.052307771409194855,8,45,17,0.7444982719189842,0.9017107599333407,2.245702855127117,3.4861806811898743,0.0,gbdt,regression,mape,42,-1,-1
Natural Juice 1L,Traditional,150,0.01739893335923737,8,52,25,0.6279135496936232,0.9487233633212298,4.063901650541632,0.5928381726340304,0.0,gbdt,regression,mape,42,-1,-1
Whole Grain Crackers 200g,E-commerce,100,0.10950547449535607,8,28,21,0.8102683517879858,0.8500701332759886,0.3172306593380666,4.7239494674346005,0.0,gbdt,regression,mape,42,-1,-1
Whole Grain Crackers 200g,Supermarkets,300,0.04201965686672185,2,45,15,0.7802400004634563,0.8421545519317897,4.40371979794377,4.614695839162869,0.0,gbdt,regression,mape,42,-1,-1
Whole Grain Crackers 200g,Traditional,100,0.01003601199796687,3,54,15,0.8761210612501341,0.7989140229537638,1.5144118961862083,2.8171977566964053,0.0,gbdt,regression,mape,42,-1,-1
