Product,Channel,WAPE_LightGBM,WAPE_GAM,WAPE_Pooled_LightGBM,Best_Model_WAPE,Best_Accuracy_WAPE,Current_Model_MAPE,Mudou
Cereal Bar 50g,E-commerce,0.8580094357674631,0.8481054203812625,0.8427344718367654,LightGBM,0.8580094357674631,LightGBM,False
Cereal Bar 50g,Supermarkets,0.7803486284440007,0.7608363203158021,0.7744941943597836,LightGBM,0.7803486284440007,LightGBM,False
Cereal Bar 50g,Traditional,0.5228051547013026,0.5742635734926014,0.45016360547939116,GAM,0.5742635734926014,LightGBM,True
Energy Drink 350ml,E-commerce,0.3628839054292965,0.4424821220651173,0.3798876123565157,GAM,0.4424821220651173,LightGBM,True
Energy Drink 350ml,Supermarkets,0.7903608409138767,0.8063988675975522,0.7919098524113015,GAM,0.8063988675975522,GAM,False
Energy Drink 350ml,Traditional,0.8338828466677114,0.8609425746919732,0.8314648262554113,GAM,0.8609425746919732,GAM,False
Flavored Water 500ml,E-commerce,0.48045440293355635,0.4082325497971334,0.40244873114600876,LightGBM,0.48045440293355635,Pooled_LightGBM,True
Flavored Water 500ml,Supermarkets,0.7398291275286812,0.5986463243957378,0.7232114755467678,LightGBM,0.7398291275286812,Pooled_LightGBM,True
Flavored Water 500ml,Traditional,0.7604607448802032,0.7642186446387058,0.6742337866316686,GAM,0.7642186446387058,GAM,False
Natural Juice 1L,E-commerce,0.6193844859041049,0.4973829421141476,0.6229309224362667,Pooled_LightGBM,0.6229309224362667,LightGBM,True
Natural Juice 1L,Supermarkets,0.7579662545538344,0.7422338395758168,0.6361616623673054,LightGBM,0.7579662545538344,LightGBM,False
Natural Juice 1L,Traditional,0.7821521752636539,0.8060910959980352,0.7765424361283049,GAM,0.8060910959980352,GAM,False
Whole Grain Crackers 200g,E-commerce,0.8055407635734642,0.7977476351132212,0.7769526029706089,LightGBM,0.8055407635734642,LightGBM,False
Whole Grain Crackers 200g,Supermarkets,0.7372286530868035,0.7738570470334856,0.7840222631697343,Pooled_LightGBM,0.7840222631697343,GAM,True
Whole Grain Crackers 200g,Traditional,0.47617194540284324,0.4292029092605353,0.40960068409393724,LightGBM,0.47617194540284324,LightGBM,False
