Product,Channel,n_estimators,learning_rate,max_depth,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain,boosting_type,objective,metric,random_state,n_jobs,verbose
Cereal Bar 50g,E-commerce,300,0.17254716573280354,7,41,9,0.662397808134481,0.6232334448672797,4.330880728874676,3.005575058716044,0.0,gbdt,regression,mape,42,-1,-1
Cereal Bar 50g,Supermarkets,200,0.14926136756526703,2,54,15,0.9351749458488038,0.9497395621289066,1.788798475450789,3.875192677344441,0.0,gbdt,regression,mape,42,-1,-1
Cereal Bar 50g,Traditional,150,0.08368069269332584,3,7,30,0.6772538412095978,0.8719425610347664,3.4314803982926882,2.7254893338860122,0.0,gbdt,regression,mape,42,-1,-1
Energy Drink 350ml,E-commerce,350,0.012473686012045874,6,27,7,0.8230506937290182,0.8208586218423559,4.669772640172018,1.350763219978317,0.0,gbdt,regression,mape,42,-1,-1
Energy Drink 350ml,Supermarkets,100,0.05226400620365841,4,7,30,0.7351154439326548,0.8804650381575039,2.371656152454489,3.4218200453595555,0.0,gbdt,regression,mape,42,-1,-1
Energy Drink 350ml,Traditional,600,0.040241832685036324,3,28,20,0.7043719983113208,0.9192563617654924,1.248322492398348,3.461340139384573,0.0,gbdt,regression,mape,42,-1,-1
Flavored Water 500ml,E-commerce,450,0.054999141771469744,6,51,23,0.81603190513188,0.857503502302707,1.0480285463151724,2.9597311335805494,0.0,gbdt,regression,mape,42,-1,-1
Flavored Water 500ml,Supermarkets,150,0.012906258331558663,8,19,30,0.6568681488356035,0.705494596240744,2.662994896562342,2.525494210980236,0.0,gbdt,regression,mape,42,-1,-1
Flavored Water 500ml,Traditional,150,0.1388265518943668,2,45,20,0.8276155831677041,0.7238715995311825,1.60656179958234,4.723216540571127,0.0,gbdt,regression,mape,42,-1,-1
Natural Juice 1L,E-commerce,100,0.011747402521105083,8,62,19,0.9154475674804464,0.7669699924693705,1.5027559187952781,2.4938956926884597,0.0,gbdt,regression,mape,42,-1,-1
Natural Juice 1L,Supermarkets,500,0.061674056340434574,7,37,15,0.8235988918172792,0.8819811617968555,3.0682354321315897,3.7639840117322416,0.0,gbdt,regression,mape,42,-1,-1
Natural Juice 1L,Traditional,150,0.016036028490677774,6,29,23,0.7875185545318183,0.6635659366423184,2.7714276349851894,2.6504690856319395,0.0,gbdt,regression,mape,42,-1,-1
Whole Grain Crackers 200g,E-commerce,100,0.06376614487533468,8,49,17,0.9637538304383734,0.9504214444632261,0.2313257205504698,4.29059836082046,0.0,gbdt,regression,mape,42,-1,-1
Whole Grain Crackers 200g,Supermarkets,600,0.12075112843422729,2,37,7,0.8906610182558802,0.799853493032687,4.954190570514314,0.39410355178357415,0.0,gbdt,regression,mape,42,-1,-1
Whole Grain Crackers 200g,Traditional,100,0.017822583437938026,3,55,15,0.8718312866339772,0.8170309282184145,3.4487854952637633,4.792789839147873,0.0,gbdt,regression,mape,42,-1,-1
