Product,Channel,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,objective,random_state,n_jobs,verbosity
Cereal Bar 50g,E-commerce,250,0.10534771277606213,3,7,0.7031196419667985,0.9741464549677167,0.29340957349791036,1.1380087267855714,2.469765736207485,reg:squarederror,42,-1,0
Cereal Bar 50g,Supermarkets,550,0.04149403541000861,2,23,0.6100131546514083,0.932159082056076,0.837537540169242,4.990886134500539,0.0024469941204938034,reg:squarederror,42,-1,0
Cereal Bar 50g,Traditional,200,0.1365764078466724,7,22,0.751444176974415,0.8559370287924123,0.6938496971529928,1.032974145576242,2.9679962916602225,reg:squarederror,42,-1,0
Energy Drink 350ml,E-commerce,500,0.08835497708116362,4,16,0.7984106781830833,0.7012251913953491,4.428887210500127,0.7842058853734721,4.4637932018755615,reg:squarederror,42,-1,0
Energy Drink 350ml,Supermarkets,450,0.14614460458756304,3,21,0.7037186552950274,0.8956440052991271,4.488435340342256,4.7112014711759045,3.194636970240643,reg:squarederror,42,-1,0
Energy Drink 350ml,Traditional,450,0.12604863064194063,3,25,0.6919184564841645,0.647408879302826,0.8511717345445051,0.6242449744615747,2.772834008909537,reg:squarederror,42,-1,0
Flavored Water 500ml,E-commerce,200,0.14495539072549699,7,22,0.7457363389213121,0.8588125628408242,0.6778279467407111,1.570203911810931,2.8141541682015694,reg:squarederror,42,-1,0
Flavored Water 500ml,Supermarkets,100,0.021866644225292525,4,5,0.9948627663232613,0.7323631797477216,2.8166337845665788,0.5282643284513937,4.905181241541138,reg:squarederror,42,-1,0
Flavored Water 500ml,Traditional,550,0.047694543445664137,8,30,0.7861793330258564,0.8995431968002924,0.497828695365797,3.4496386082007793,1.7991145888761555,reg:squarederror,42,-1,0
Natural Juice 1L,E-commerce,100,0.07955315745618183,4,21,0.9890765181396584,0.9966263422342984,2.2737161375974817,0.14136370185917269,4.991961519082388,reg:squarederror,42,-1,0
Natural Juice 1L,Supermarkets,500,0.12666273373027614,4,1,0.6005444029443832,0.8124689051264062,0.9623249596420849,1.4333737360140582,1.9299661355274966,reg:squarederror,42,-1,0
Natural Juice 1L,Traditional,350,0.012924386063391366,8,19,0.7899857023931112,0.874767393770446,0.23581860494993462,0.7180186139848628,1.3186109207793784,reg:squarederror,42,-1,0
Whole Grain Crackers 200g,E-commerce,150,0.19691103786971034,3,11,0.6125516819803676,0.7157343310557601,1.4246658908701484,2.6427635825277083,3.601731307962609,reg:squarederror,42,-1,0
Whole Grain Crackers 200g,Supermarkets,450,0.133015757143899,4,14,0.8444826615925547,0.9157756672328475,4.380268055790324,1.332730118535373,2.4484946376321424,reg:squarederror,42,-1,0
Whole Grain Crackers 200g,Traditional,300,0.03232132738152053,7,26,0.6010671845109126,0.9988397527818885,2.252421020169468,0.3904698325566865,3.863087511803541,reg:squarederror,42,-1,0
