Product,Channel,Week,Horizon,Actual,Predicted,APE
Cereal Bar 50g,E-commerce,2026-01-19,1,0.642,1.1051254940660697,0.7213792742462145
Cereal Bar 50g,E-commerce,2026-01-26,2,1.121,0.9872425971659752,0.1193197170687108
Cereal Bar 50g,E-commerce,2026-02-02,3,1.041,0.9466439060504889,0.09063985970173974
Cereal Bar 50g,E-commerce,2026-02-09,4,0.965,1.2916006147601886,0.3384462329121126
Cereal Bar 50g,E-commerce,2026-02-16,5,0.928,0.9262886861492716,0.0018440882012159742
Cereal Bar 50g,E-commerce,2026-02-23,6,1.039,1.2195407382379178,0.1737639444060807
Cereal Bar 50g,E-commerce,2026-03-02,7,0.658,0.9421476804250016,0.4318353805851088
Cereal Bar 50g,E-commerce,2026-03-09,8,1.143,0.8973321398558137,0.21493251106228023
Cereal Bar 50g,E-commerce,2026-03-16,9,1.199,1.0173330622390084,0.15151537761550593
Cereal Bar 50g,E-commerce,2026-03-23,10,0.877,1.0302575790886548,0.17475208561990282
Cereal Bar 50g,E-commerce,2026-03-30,11,0.993,1.0803603988832613,0.08797623251083717
Cereal Bar 50g,E-commerce,2026-04-06,12,1.098,1.2666438898427446,0.15359188510268165
Cereal Bar 50g,E-commerce,2026-04-13,13,0.758,1.0099000193906116,0.3323219253174295
Cereal Bar 50g,E-commerce,2026-04-20,14,0.983,0.9889400438687466,0.006042770975327142
Cereal Bar 50g,E-commerce,2026-04-27,15,1.118,0.898088464361304,0.1967008368861325
Cereal Bar 50g,E-commerce,2026-05-04,16,0.841,0.9113331356211322,0.08363036340205969
Cereal Bar 50g,E-commerce,2026-05-11,17,0.901,1.0849414806100184,0.20415258669258418
Cereal Bar 50g,E-commerce,2026-05-18,18,0.846,1.0139306825127752,0.19849962471959245
Cereal Bar 50g,E-commerce,2026-05-25,19,1.035,1.0409414685281229,0.005740549302534242
Cereal Bar 50g,E-commerce,2026-06-01,20,1.06,0.9361837338216059,0.1168077982815039
Cereal Bar 50g,E-commerce,2026-06-08,21,1.217,0.9299481620697148,0.23586839599859105
Cereal Bar 50g,E-commerce,2026-06-15,22,1.161,0.9458393144493199,0.1853235878989493
Cereal Bar 50g,E-commerce,2026-06-22,23,0.819,1.1630985010367068,0.42014468991050896
Energy Drink 350ml,E-commerce,2026-01-19,1,1.102,0.9095493070744024,0.17463765238257503
Energy Drink 350ml,E-commerce,2026-01-26,2,2.745,1.3694005444878694,0.5011291276911223
Energy Drink 350ml,E-commerce,2026-02-02,3,0.746,1.5131968746431292,1.0284140410765807
Energy Drink 350ml,E-commerce,2026-02-09,4,2.386,1.2195589662400406,0.4888688322548028
Energy Drink 350ml,E-commerce,2026-02-16,5,2.234,1.6038678284061874,0.2820645351807577
Energy Drink 350ml,E-commerce,2026-02-23,6,2.208,1.7251903242004758,0.21866380244543676
Energy Drink 350ml,E-commerce,2026-03-02,7,0.581,1.324546012243799,1.2797693842406181
Energy Drink 350ml,E-commerce,2026-03-09,8,0.371,1.7549130204783832,3.7302237748743483
Energy Drink 350ml,E-commerce,2026-03-16,9,1.923,1.645451321650724,0.14433108598506292
Energy Drink 350ml,E-commerce,2026-03-23,10,0.276,1.7444664804616636,5.320530726310375
Energy Drink 350ml,E-commerce,2026-03-30,11,2.435,1.8394993175373924,0.24455880183269307
Energy Drink 350ml,E-commerce,2026-04-06,12,1.689,2.53135535169689,0.4987302259898696
Energy Drink 350ml,E-commerce,2026-04-13,13,0.374,2.6760002024149716,6.155080755120244
Energy Drink 350ml,E-commerce,2026-04-20,14,2.133,2.4510423593843504,0.149105653719808
Energy Drink 350ml,E-commerce,2026-04-27,15,2.895,2.5490875748435777,0.1194861572215621
Energy Drink 350ml,E-commerce,2026-05-04,16,2.279,3.1998822830525966,0.4040729631648077
Energy Drink 350ml,E-commerce,2026-05-11,17,0.257,2.704987687699238,9.525243921008707
Energy Drink 350ml,E-commerce,2026-05-18,18,1.383,3.073317924642505,1.2222110807248772
Energy Drink 350ml,E-commerce,2026-05-25,19,0.955,3.1524749061526265,2.301020844138876
Energy Drink 350ml,E-commerce,2026-06-01,20,1.893,1.8426447673874893,0.026600756794775877
Energy Drink 350ml,E-commerce,2026-06-08,21,0.549,2.336202273874246,3.2553775480405207
Energy Drink 350ml,E-commerce,2026-06-15,22,0.411,2.0649587257092206,4.024230476178152
Energy Drink 350ml,E-commerce,2026-06-22,23,2.73,2.8037366002641773,0.027009743686511822
Flavored Water 500ml,E-commerce,2026-01-19,1,2.601,2.228006010214109,0.14340407142863942
Flavored Water 500ml,E-commerce,2026-01-26,2,0.232,1.5492881362837134,5.677966104671178
Flavored Water 500ml,E-commerce,2026-02-02,3,0.941,2.6162541558401413,1.7802913452073768
Flavored Water 500ml,E-commerce,2026-02-09,4,3.348,2.4829327151221725,0.2583832989479771
Flavored Water 500ml,E-commerce,2026-02-16,5,2.332,2.9482062593085323,0.26423939078410486
Flavored Water 500ml,E-commerce,2026-02-23,6,4.598,2.4040677536276585,0.47714924888480675
Flavored Water 500ml,E-commerce,2026-03-02,7,0.228,1.8509503732624117,7.1182033915018055
Flavored Water 500ml,E-commerce,2026-03-09,8,0.307,2.2548079169199307,6.344651195178928
Flavored Water 500ml,E-commerce,2026-03-16,9,1.731,2.5188070223854244,0.45511670848378066
Flavored Water 500ml,E-commerce,2026-03-23,10,0.387,2.204731885320837,4.6969816158161155
Flavored Water 500ml,E-commerce,2026-03-30,11,0.805,2.084895605476743,1.5899324291636554
Flavored Water 500ml,E-commerce,2026-04-06,12,2.56,2.7353293954534936,0.06848804509902093
Flavored Water 500ml,E-commerce,2026-04-13,13,1.312,2.961971998600497,1.2576006086894032
Flavored Water 500ml,E-commerce,2026-04-20,14,0.927,2.871164954387086,2.0972653229634153
Flavored Water 500ml,E-commerce,2026-04-27,15,4.335,2.5125961443718494,0.4203930462810036
Flavored Water 500ml,E-commerce,2026-05-04,16,2.001,3.029403783231784,0.513944919156314
