Product,Channel,Week,Horizon,Actual,Predicted,APE
Cereal Bar 50g,E-commerce,2026-01-19,1,0.642,1.1452919018467054,0.783943772346893
Cereal Bar 50g,E-commerce,2026-01-26,2,1.121,0.9837977742582942,0.12239270806575006
Cereal Bar 50g,E-commerce,2026-02-02,3,1.041,1.162823368438541,0.11702532991214316
Cereal Bar 50g,E-commerce,2026-02-09,4,0.965,0.9742139728481766,0.009548158391892849
Cereal Bar 50g,E-commerce,2026-02-16,5,0.928,0.7442100931201594,0.19804946862051792
Cereal Bar 50g,E-commerce,2026-02-23,6,1.039,1.2433464545343644,0.19667608713605825
Cereal Bar 50g,E-commerce,2026-03-02,7,0.658,0.7189316654679763,0.09260131530087573
Cereal Bar 50g,E-commerce,2026-03-09,8,1.143,0.9386887336140266,0.17875001433593474
Cereal Bar 50g,E-commerce,2026-03-16,9,1.199,1.004140978776782,0.16251794931044033
Cereal Bar 50g,E-commerce,2026-03-23,10,0.877,0.8791795770103819,0.0024852645500363173
Cereal Bar 50g,E-commerce,2026-03-30,11,0.993,1.056932778515918,0.06438346275520437
Cereal Bar 50g,E-commerce,2026-04-06,12,1.098,0.9229707936981516,0.15940729171388748
Cereal Bar 50g,E-commerce,2026-04-13,13,0.758,1.0813292028994563,0.42655567664835925
Cereal Bar 50g,E-commerce,2026-04-20,14,0.983,1.0143479913817905,0.031890123480967
Cereal Bar 50g,E-commerce,2026-04-27,15,1.118,0.9778097863735796,0.12539375100753172
Cereal Bar 50g,E-commerce,2026-05-04,16,0.841,0.9325826167766933,0.10889728510902894
Cereal Bar 50g,E-commerce,2026-05-11,17,0.901,1.1646205706410315,0.29258664888016817
Cereal Bar 50g,E-commerce,2026-05-18,18,0.846,1.0749685201025854,0.2706483689155856
Cereal Bar 50g,E-commerce,2026-05-25,19,1.035,1.0709283221521864,0.03471335473641202
Cereal Bar 50g,E-commerce,2026-06-01,20,1.06,1.016673396983325,0.040874153789316046
Cereal Bar 50g,E-commerce,2026-06-08,21,1.217,1.0810331230960553,0.11172298841737453
Cereal Bar 50g,E-commerce,2026-06-15,22,1.161,0.9991892720361418,0.1393718587113335
Cereal Bar 50g,E-commerce,2026-06-22,23,0.819,1.03152725790818,0.2594960414019293
Energy Drink 350ml,E-commerce,2026-01-19,1,1.102,0.7754955711512972,0.296283510751999
Energy Drink 350ml,E-commerce,2026-01-26,2,2.745,1.5133563096353284,0.4486862259980589
Energy Drink 350ml,E-commerce,2026-02-02,3,0.746,1.3704203145249352,0.8370245503015217
Energy Drink 350ml,E-commerce,2026-02-09,4,2.386,1.693662681252822,0.29016652084961364
Energy Drink 350ml,E-commerce,2026-02-16,5,2.234,1.0412164973063531,0.53392278544926
Energy Drink 350ml,E-commerce,2026-02-23,6,2.208,1.2531669498818372,0.43244250458250133
Energy Drink 350ml,E-commerce,2026-03-02,7,0.581,1.36957507737258,1.3572720780939418
Energy Drink 350ml,E-commerce,2026-03-09,8,0.371,0.8533966670603869,1.3002605581142503
Energy Drink 350ml,E-commerce,2026-03-16,9,1.923,1.2147161915158569,0.3683223133042866
Energy Drink 350ml,E-commerce,2026-03-23,10,0.276,1.1879025439530564,3.303994724467595
Energy Drink 350ml,E-commerce,2026-03-30,11,2.435,1.0747700675376795,0.5586159886908914
Energy Drink 350ml,E-commerce,2026-04-06,12,1.689,1.1478566289085512,0.32039275967522135
Energy Drink 350ml,E-commerce,2026-04-13,13,0.374,1.132741462890449,2.0287204890118957
Energy Drink 350ml,E-commerce,2026-04-20,14,2.133,1.3361966594509331,0.3735599346221598
Energy Drink 350ml,E-commerce,2026-04-27,15,2.895,1.1707943741908466,0.5955805270497939
Energy Drink 350ml,E-commerce,2026-05-04,16,2.279,1.2025878296232912,0.4723177579537993
Energy Drink 350ml,E-commerce,2026-05-11,17,0.257,1.3457579142596006,4.2364121177416365
Energy Drink 350ml,E-commerce,2026-05-18,18,1.383,1.6832251575794788,0.2170825434414163
